Con Tax Ren Rod Lic Con Tax Ren Rod Lic
541 9.0 3571 1976 52.5 460 8.5 4574 2619 55.1
524 9.0 4092 1250 57.2 566 9.0 3721 4746 54.4
561 9.0 3865 1586 58.0 577 8.0 3448 5399 54.8
414 7.5 4870 2351 52.9 631 7.5 3846 9061 57.9
410 8.0 4399 431 54.4 574 8.0 4188 5975 56.3
457 10.0 5342 1333 57.1 534 9.0 3601 4650 49.3
344 8.0 5319 11868 45.1 571 7.0 3640 6905 51.8
467 8.0 5126 2138 55.3 554 7.0 3333 6594 51.3
464 8.0 4447 8577 52.9 577 8.0 3063 6524 57.8
498 7.0 4512 8507 55.2 628 7.5 3357 4121 54.7
580 8.0 4391 5939 53.0 487 8.0 3528 3495 48.7
471 7.5 5126 14186 52.5 644 6.5 3802 7834 62.9
525 7.0 4817 6930 57.4 640 5.0 4045 17782 56.6
508 7.0 4207 6580 54.5 704 7.0 3897 6385 58.6
566 7.0 4332 8159 60.8 648 8.5 3635 3274 66.3
635 7.0 4318 10340 58.6 968 7.0 4345 3905 67.2
603 7.0 4206 8508 57.2 587 7.0 4449 4639 62.6
714 7.0 3718 4725 54.0 699 7.0 3656 3985 56.3
865 7.0 4716 5915 72.4 632 7.0 4300 3635 60.3
640 8.5 4341 6010 67.7 591 7.0 3745 2611 50.8
649 7.0 4593 7834 66.3 782 6.0 5215 2302 67.2
540 8.0 4983 602 60.2 510 9.0 4476 3942 57.1
464 9.0 4897 2449 51.1 610 7.0 4296 4083 62.3
547 9.0 4258 4686 51.7 524 7.0 5002 9794 59.3
