Con Tax Ren Rod Lic
541 9 3571 1976 52.5
524 9 4092 1250 57.2
561 9 3865 1586 58
414 7.5 4870 2351 52.9
410 8 4399 431 54.4
457 10 5342 1333 57.1
344 8 5319 11868 45.1
467 8 5126 2138 55.3
464 8 4447 8577 52.9
498 7 4512 8507 55.2
580 8 4391 5939 53
471 7.5 5126 14186 52.5
525 7 4817 6930 57.4
508 7 4207 6580 54.5
566 7 4332 8159 60.8
635 7 4318 10340 58.6
603 7 4206 8508 57.2
714 7 3718 4725 54
865 7 4716 5915 72.4
640 8.5 4341 6010 67.7
649 7 4593 7834 66.3
540 8 4983 602 60.2
464 9 4897 2449 51.1
547 9 4258 4686 51.7
460 8.5 4574 2619 55.1
566 9 3721 4746 54.4
577 8 3448 5399 54.8
631 7.5 3846 9061 57.9
574 8 4188 5975 56.3
534 9 3601 4650 49.3
571 7 3640 6905 51.8
554 7 3333 6594 51.3
577 8 3063 6524 57.8
628 7.5 3357 4121 54.7
487 8 3528 3495 48.7
644 6.5 3802 7834 62.9
640 5 4045 17782 56.6
704 7 3897 6385 58.6
648 8.5 3635 3274 66.3
968 7 4345 3905 67.2
587 7 4449 4639 62.6
699 7 3656 3985 56.3
632 7 4300 3635 60.3
591 7 3745 2611 50.8
782 6 5215 2302 67.2
510 9 4476 3942 57.1
610 7 4296 4083 62.3
524 7 5002 9794 59.3
